ID_CRIPTO,Soma de NR_POSICAO_RANK,DS_SIGLA_ATIVO,NM_ATIVO,Soma de QT_EM_CIRCULACAO,Soma de QT_MAXIMA_EMISSAO,Soma de VL_CAPITALIZACAO_MERCADO,Soma de VL_VOLUME_24H,Soma de VL_PRECO_ATUAL,Soma de PC_VARIACAO_24H,Soma de VL_PRECO_MEDIO_24H,LINK_EXPLORADOR,DT_CONSULTA_CRYPTO,ID_EXCHANGE,ID_ATIVO_BASE,ID_ATIVO_COTACAO,SIGLA_ATIVO_BASE,SIGLA_ATIVO_COTACAO,Soma de VL_PRECO_MERCADO,Soma de VL_VOLUME_24H_MERCADO,Soma de PC_VOLUME_MERCADO,DT_CONSULTA_MARKET,Soma de BTC_PRECO,BTC_DATA_HORA,Soma de ETH_PRECO,ETH_DATA_HORA,Soma de BNB_PRECO,BNB_DATA_HORA
binance-coin,5,BNB,BNB,"144006830,00","144006830,00","$86029753954,16","$229520400,98","$597,40","-0,92%","$605,38",https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,2025-03-30 19:32:51,AscendEX (Bitmax),binance-coin,tether,BNB,USDT,"$594,02","$23016863,90","10,23%",2025-03-30 19:15:02,,,,,,
binance-coin,5,BNB,BNB,"144006830,00","144006830,00","$86029753954,16","$229520400,98","$597,40","-0,92%","$605,38",https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,2025-03-30 19:32:51,Bibox,binance-coin,tether,BNB,USDT,"$604,89","$5217263,18","2,32%",2025-03-30 19:15:02,,,,,,
binance-coin,5,BNB,BNB,"144006830,00","144006830,00","$86029753954,16","$229520400,98","$597,40","-0,92%","$605,38",https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,2025-03-30 19:32:51,Bilaxy,binance-coin,tether,BNB,USDT,"$594,27","$6916723,15","3,07%",2025-03-30 19:15:02,,,,,,
binance-coin,5,BNB,BNB,"144006830,00","144006830,00","$86029753954,16","$229520400,98","$597,40","-0,92%","$605,38",https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,2025-03-30 19:32:51,Binance,binance-coin,bitcoin,BNB,BTC,"$594,55","$5437145,76","2,42%",2025-03-30 19:15:02,,,,,,
binance-coin,5,BNB,BNB,"144006830,00","144006830,00","$86029753954,16","$229520400,98","$597,40","-0,92%","$605,38",https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,2025-03-30 19:32:51,Binance,binance-coin,brazilian-real,BNB,BRL,"$599,56","$141170,57","0,06%",2025-03-30 19:15:02,,,,,,
binance-coin,5,BNB,BNB,"144006830,00","144006830,00","$86029753954,16","$229520400,98","$597,40","-0,92%","$605,38",https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,2025-03-30 19:32:51,Binance,binance-coin,ethereum,BNB,ETH,"$597,52","$1934500,40","0,86%",2025-03-30 19:15:02,,,,,,
binance-coin,5,BNB,BNB,"144006830,00","144006830,00","$86029753954,16","$229520400,98","$597,40","-0,92%","$605,38",https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,2025-03-30 19:32:51,Binance,binance-coin,euro,BNB,EUR,"$595,61","$582555,45","0,26%",2025-03-30 19:15:02,,,,,,
binance-coin,5,BNB,BNB,"144006830,00","144006830,00","$86029753954,16","$229520400,98","$597,40","-0,92%","$605,38",https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,2025-03-30 19:32:51,Binance,binance-coin,tether,BNB,USDT,"$594,45","$109876540,67","48,85%",2025-03-30 19:15:02,,,,,,
binance-coin,5,BNB,BNB,"144006830,00","144006830,00","$86029753954,16","$229520400,98","$597,40","-0,92%","$605,38",https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,2025-03-30 19:32:51,Binance,binance-coin,usd-coin,BNB,USDC,"$594,46","$24890131,15","11,07%",2025-03-30 19:15:02,,,,,,
binance-coin,5,BNB,BNB,"144006830,00","144006830,00","$86029753954,16","$229520400,98","$597,40","-0,92%","$605,38",https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,2025-03-30 19:32:51,Binance.US,binance-coin,tether,BNB,USDT,"$594,28","$80617,87","0,04%",2025-03-30 19:15:02,,,,,,
